Comment,Designator,Footprint,LCSC
MAX11632EEGT,ADC1,MAX11632EEGT,
MAX11632EEGT,ADC2,MAX11632EEGT,
usb_B,J17,usbB_stewart,
MountingHole,H5,MountingHole_3.2mm_M3,
100n,C2,C0603,
measuring_input2,J6,PinHeader_1x08_P2.54mm_Vertical,
100n,C1,C0603,
scanning_ref4,J4,PinHeader_1x08_P2.54mm_Vertical,
MountingHole,H1,MountingHole_3.2mm_M3,
teensy_left,J12,PinSocket_1x24_P2.54mm_Vertical,
CD74HC4067SM,MUX2,SSOP-24_5.3x8.2mm_P0.65mm,
com_adc,J10,PinHeader_1x09_P2.54mm_Vertical,
scanning_ref1,J1,PinHeader_1x08_P2.54mm_Vertical,
com_acc1,J14,PinHeader_2x05_P1.27mm_Vertical,
scanning_ref3,J3,PinHeader_1x08_P2.54mm_Vertical,
com_acc2,J13,PinHeader_2x05_P1.27mm_Vertical,
MountingHole,H3,MountingHole_3.2mm_M3,
teensy_right,J11,PinSocket_1x24_P2.54mm_Vertical,
com_mux,J9,PinHeader_1x08_P2.54mm_Vertical,
measuring_input3,J7,PinHeader_1x08_P2.54mm_Vertical,
measuring_input4,J8,PinHeader_1x08_P2.54mm_Vertical,
MountingHole,H4,MountingHole_3.2mm_M3,
MountingHole,H2,MountingHole_3.2mm_M3,
com_acc4,J16,PinHeader_2x05_P1.27mm_Vertical,
com_acc3,J15,PinHeader_2x05_P1.27mm_Vertical,
measuring_input1,J5,PinHeader_1x08_P2.54mm_Vertical,
CD74HC4067SM,MUX1,SSOP-24_5.3x8.2mm_P0.65mm,
scanning_ref2,J2,PinHeader_1x08_P2.54mm_Vertical,
